Dataset,Tweet Id,Tweet Author,Tweet Date,Tweet Seed Index,Tweet Content,Tweet Event Relevance Score,Number of Relevant Mentions,Overall Sentiment-Intensity,Relevant Mention,Relevant Mention Score,Positive Sentiment,Negative Sentiment,Neutral Sentiment,High Intensity,Low Intensity,Medium Intensity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS2,23822,@MoniqueADyer,2014-04-29,whaling_23,RT @adopt_dont_buy: Denounce Japan for Whale Slaughter - ForceChange http://t.co/TUp8Tlp9eO,1.00,4,0,Whale Slaughter,0.68,0,1,0,0.6882472016,0.6882472016,0.2294157339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS2,23822,@MoniqueADyer,2014-04-29,whaling_23,RT @adopt_dont_buy: Denounce Japan for Whale Slaughter - ForceChange http://t.co/TUp8Tlp9eO,1.00,4,0,Japan,0.51,0,0.1643989873,0.9863939238,0,0.9863939238,0.1643989873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS2,24016,@neerav,2014-05-08,whaling_226,RT @KristenObaid: 172 sharks culled off WA - how is this any more scientific than Japan's whaling programs? http://t.co/2kj5EYURI9,1.00,2,1,,,0.7427813527,0.5570860145,0.3713906764,0.1561737619,0.9370425713,0.3123475238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS2,24016,@neerav,2014-05-08,whaling_226,RT @KristenObaid: 172 sharks culled off WA - how is this any more scientific than Japan's whaling programs? http://t.co/2kj5EYURI9,1.00,2,0,Japan's whaling programs?,0.8,0.1690308509,0.8451542547,0.5070925528,0,0.9922778767,0.1240347346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS2,24016,@neerav,2014-05-08,whaling_226,RT @KristenObaid: 172 sharks culled off WA - how is this any more scientific than Japan's whaling programs? http://t.co/2kj5EYURI9,1.00,2,0,Japan's whaling,0.6,0,0.9615239476,0.2747211279,0,0.9615239476,0.2747211279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS2,24015,@KristenObaid,2014-05-08,whaling_225,172 sharks culled off WA - how is this any more scientific than Japan's whaling programs? http://t.co/2kj5EYURI9,1.00,3,1,,,0,0.9922778767,0.1240347346,0.174077656,0.6963106238,0.6963106238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS2,24015,@KristenObaid,2014-05-08,whaling_225,172 sharks culled off WA - how is this any more scientific than Japan's whaling programs? http://t.co/2kj5EYURI9,1.00,3,0,Japan's whaling,0.67,0,0.2747211279,0.9615239476,0,0.894427191,0.4472135955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS2,24015,@KristenObaid,2014-05-08,whaling_225,172 sharks culled off WA - how is this any more scientific than Japan's whaling programs? http://t.co/2kj5EYURI9,1.00,3,0,Japan's whaling programs?,0.67,0,0.4472135955,0.894427191,0,0.894427191,0.4472135955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS2,24015,@KristenObaid,2014-05-08,whaling_225,172 sharks culled off WA - how is this any more scientific than Japan's whaling programs? http://t.co/2kj5EYURI9,1.00,3,0,how is this any more scientific than Japan's whaling programs?,0.33,0,0.9922778767,0.1240347346,0.174077656,0.6963106238,0.6963106238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS2,24014,@MAbualzait,2014-05-08,whaling_224,Japanese whaling group intends to resume its hunts - #Android #IOS #Tech #News http://t.co/o4hH9eHlqj #Environment #news,1.00,3,1,,,0,0.5144957554,0.8574929257,0,0.5144957554,0.8574929257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS2,24014,@MAbualzait,2014-05-08,whaling_224,Japanese whaling group intends to resume its hunts - #Android #IOS #Tech #News http://t.co/o4hH9eHlqj #Environment #news,1.00,3,0,Japanese whaling group,0.19,0,0.316227766,0.9486832981,0,0.7071067812,0.7071067812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS2,24014,@MAbualzait,2014-05-08,whaling_224,Japanese whaling group intends to resume its hunts - #Android #IOS #Tech #News http://t.co/o4hH9eHlqj #Environment #news,1.00,3,0,Japanese whaling,0.96,0,0.316227766,0.9486832981,0,0.7071067812,0.7071067812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS2,24014,@MAbualzait,2014-05-08,whaling_224,Japanese whaling group intends to resume its hunts - #Android #IOS #Tech #News http://t.co/o4hH9eHlqj #Environment #news,1.00,3,0,hunts,0.19,0,0.7071067812,0.7071067812,0,0.7071067812,0.7071067812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS2,24005,@fedekea,2014-05-07,whaling_214,Denounce Japan for Whale Slaughter - ForceChange http://t.co/YBLLtvtw2V,1.00,4,1,,,0.1400280084,0.9801960588,0.1400280084,0.6963106238,0.6963106238,0.174077656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS2,24005,@fedekea,2014-05-07,whaling_214,Denounce Japan for Whale Slaughter - ForceChange http://t.co/YBLLtvtw2V,1.00,4,0,Denounce Japan for Whale Slaughter,0.55,0.1400280084,0.9801960588,0.1400280084,0.6963106238,0.6963106238,0.174077656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS2,24005,@fedekea,2014-05-07,whaling_214,Denounce Japan for Whale Slaughter - ForceChange http://t.co/YBLLtvtw2V,1.00,4,0,Japan,0.55,0.1240347346,0,0.9922778767,0,0.9922778767,0.1240347346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS2,24005,@fedekea,2014-05-07,whaling_214,Denounce Japan for Whale Slaughter - ForceChange http://t.co/YBLLtvtw2V,1.00,4,0,Whale Slaughter,0.55,0.1400280084,0.9801960588,0.1400280084,0.5070925528,0.8451542547,0.1690308509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS2,24005,@fedekea,2014-05-07,whaling_214,Denounce Japan for Whale Slaughter - ForceChange http://t.co/YBLLtvtw2V,1.00,4,0,Whale,0.28,0.1240347346,0,0.9922778767,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS2,24004,@Vannys06,2014-05-07,whaling_213,Denounce Japan for Whale Slaughter - ForceChange http://t.co/NHhdEDmiEj,0.97,4,1,,,0.3015113446,0.9045340337,0.3015113446,0.15430335,0.6172133998,0.7715167498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS2,24004,@Vannys06,2014-05-07,whaling_213,Denounce Japan for Whale Slaughter - ForceChange http://t.co/NHhdEDmiEj,0.97,4,0,Denounce Japan for Whale Slaughter,0.5,0.3015113446,0.9045340337,0.3015113446,0,0.5547001962,0.8320502943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS2,24004,@Vannys06,2014-05-07,whaling_213,Denounce Japan for Whale Slaughter - ForceChange http://t.co/NHhdEDmiEj,0.97,4,0,Japan,0.5,0,0.1104315261,0.9938837347,0,0.9938837347,0.1104315261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS2,24004,@Vannys06,2014-05-07,whaling_213,Denounce Japan for Whale Slaughter - ForceChange http://t.co/NHhdEDmiEj,0.97,4,0,Whale Slaughter,0.5,0,0.9938837347,0.1104315261,0.4866642634,0.3244428423,0.8111071057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS2,24004,@Vannys06,2014-05-07,whaling_213,Denounce Japan for Whale Slaughter - ForceChange http://t.co/NHhdEDmiEj,0.97,4,0,Whale,0.5,0.1104315261,0,0.9938837347,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS2,24003,@GerdavanRijn1,2014-05-07,whaling_212,Denounce Japan for Whale Slaughter - ForceChange http://t.co/W4yGeFn5BB,1.00,5,1,,,0.1961161351,0.9805806757,0,0.8017837257,0.2672612419,0.5345224838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS2,24003,@GerdavanRijn1,2014-05-07,whaling_212,Denounce Japan for Whale Slaughter - ForceChange http://t.co/W4yGeFn5BB,1.00,5,0,Denounce Japan,0.14,0,1,0,0.7071067812,0.7071067812,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS2,24003,@GerdavanRijn1,2014-05-07,whaling_212,Denounce Japan for Whale Slaughter - ForceChange http://t.co/W4yGeFn5BB,1.00,5,0,Whale Slaughter,0.69,0,1,0,0.894427191,0,0.4472135955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS2,24003,@GerdavanRijn1,2014-05-07,whaling_212,Denounce Japan for Whale Slaughter - ForceChange http://t.co/W4yGeFn5BB,1.00,5,0,Japan,0.69,0,0.1961161351,0.9805806757,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS2,24003,@GerdavanRijn1,2014-05-07,whaling_212,Denounce Japan for Whale Slaughter - ForceChange http://t.co/W4yGeFn5BB,1.00,5,0,Japan for Whale,0.14,0,0.1961161351,0.9805806757,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS2,24003,@GerdavanRijn1,2014-05-07,whaling_212,Denounce Japan for Whale Slaughter - ForceChange http://t.co/W4yGeFn5BB,1.00,5,0,Whale,0.14,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS2,24002,@Sonar_Bender,2014-05-07,whaling_211,"BBC News - More than 170 sharks caught under Australia cull policy http://t.co/ZvSE5A08C8 You stop Japan from Whaling, hypocrites, shameful.",1.00,5,1,,,0,1,0,0.9863939238,0,0.1643989873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS2,24002,@Sonar_Bender,2014-05-07,whaling_211,"BBC News - More than 170 sharks caught under Australia cull policy http://t.co/ZvSE5A08C8 You stop Japan from Whaling, hypocrites, shameful.",1.00,5,0,Japan,0.75,0,0.1643989873,0.9863939238,0,0.9863939238,0.1643989873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS2,24002,@Sonar_Bender,2014-05-07,whaling_211,"BBC News - More than 170 sharks caught under Australia cull policy http://t.co/ZvSE5A08C8 You stop Japan from Whaling, hypocrites, shameful.",1.00,5,0,"Whaling,",0.6,0,0.6,0.8,0.1924500897,0.9622504486,0.1924500897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS2,24002,@Sonar_Bender,2014-05-07,whaling_211,"BBC News - More than 170 sharks caught under Australia cull policy http://t.co/ZvSE5A08C8 You stop Japan from Whaling, hypocrites, shameful.",1.00,5,0,170 sharks caught under Australia cull policy,0.15,0,0.9284766909,0.3713906764,0.4364357805,0.2182178902,0.8728715609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS2,24002,@Sonar_Bender,2014-05-07,whaling_211,"BBC News - More than 170 sharks caught under Australia cull policy http://t.co/ZvSE5A08C8 You stop Japan from Whaling, hypocrites, shameful.",1.00,5,0,"Whaling, hypocrites, shameful_$_",0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS2,24002,@Sonar_Bender,2014-05-07,whaling_211,"BBC News - More than 170 sharks caught under Australia cull policy http://t.co/ZvSE5A08C8 You stop Japan from Whaling, hypocrites, shameful.",1.00,5,0,"You stop Japan from Whaling,",0.15,0.1643989873,0.9863939238,0,0.6,0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS2,24001,@STPGeography,2014-05-07,whaling_210,RT @GeogJag: #ASCold Whaling update - Japan confirms cancellation of whale hunt in response to court ruling http://t.co/XULGHgxs1C via @gua…,1.00,5,1,,,0.7844645406,0.1961161351,0.5883484054,0,0.9486832981,0.316227766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS2,24001,@STPGeography,2014-05-07,whaling_210,RT @GeogJag: #ASCold Whaling update - Japan confirms cancellation of whale hunt in response to court ruling http://t.co/XULGHgxs1C via @gua…,1.00,5,0,whale hunt,0.61,0,0.7071067812,0.7071067812,0,0.9899494937,0.1414213562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS2,24001,@STPGeography,2014-05-07,whaling_210,RT @GeogJag: #ASCold Whaling update - Japan confirms cancellation of whale hunt in response to court ruling http://t.co/XULGHgxs1C via @gua…,1.00,5,0,Whaling,0.49,0,0.5144957554,0.8574929257,0,0.9899494937,0.1414213562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS2,24001,@STPGeography,2014-05-07,whaling_210,RT @GeogJag: #ASCold Whaling update - Japan confirms cancellation of whale hunt in response to court ruling http://t.co/XULGHgxs1C via @gua…,1.00,5,0,Japan,0.61,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS2,24001,@STPGeography,2014-05-07,whaling_210,RT @GeogJag: #ASCold Whaling update - Japan confirms cancellation of whale hunt in response to court ruling http://t.co/XULGHgxs1C via @gua…,1.00,5,0,cancellation,0.12,0.3651483717,0.1825741858,0.9128709292,0,0.9899494937,0.1414213562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS2,24001,@STPGeography,2014-05-07,whaling_210,RT @GeogJag: #ASCold Whaling update - Japan confirms cancellation of whale hunt in response to court ruling http://t.co/XULGHgxs1C via @gua…,1.00,5,0,whale,0.12,0,0.1414213562,0.9899494937,0,0.9899494937,0.1414213562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS2,24000,@GeogJag,2014-05-07,whaling_209,#ASCold Whaling update - Japan confirms cancellation of whale hunt in response to court ruling http://t.co/XULGHgxs1C via @guardian,1.00,5,1,,,0.91914503,0,0.3939192986,0,0.8320502943,0.5547001962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS2,24000,@GeogJag,2014-05-07,whaling_209,#ASCold Whaling update - Japan confirms cancellation of whale hunt in response to court ruling http://t.co/XULGHgxs1C via @guardian,1.00,5,0,Japan,0.6,0.242535625,0,0.9701425001,0,0.9938837347,0.1104315261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS2,24000,@GeogJag,2014-05-07,whaling_209,#ASCold Whaling update - Japan confirms cancellation of whale hunt in response to court ruling http://t.co/XULGHgxs1C via @guardian,1.00,5,0,whale hunt,0.6,0.1474419562,0.8846517369,0.4423258685,0.123091491,0.9847319278,0.123091491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS2,24000,@GeogJag,2014-05-07,whaling_209,#ASCold Whaling update - Japan confirms cancellation of whale hunt in response to court ruling http://t.co/XULGHgxs1C via @guardian,1.00,5,0,cancellation of whale hunt,0.3,0.91914503,0,0.3939192986,0,0.8320502943,0.5547001962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS2,24000,@GeogJag,2014-05-07,whaling_209,#ASCold Whaling update - Japan confirms cancellation of whale hunt in response to court ruling http://t.co/XULGHgxs1C via @guardian,1.00,5,0,Whaling,0.3,0,0.7071067812,0.7071067812,0.1104315261,0.9938837347,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS2,24000,@GeogJag,2014-05-07,whaling_209,#ASCold Whaling update - Japan confirms cancellation of whale hunt in response to court ruling http://t.co/XULGHgxs1C via @guardian,1.00,5,0,Japan confirms cancellation of whale hunt,0.3,0.91914503,0,0.3939192986,0,0.8320502943,0.5547001962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS2,23997,@MAbualzait,2014-05-06,whaling_206,Japanese whaling group intends to resume its hunts - #News #اندرويد #androidDev #android... http://t.co/o4hH9eHlqj #Environment #news,1.00,3,1,,,0,0.7071067812,0.7071067812,0.1961161351,0.7844645406,0.5883484054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS2,23997,@MAbualzait,2014-05-06,whaling_206,Japanese whaling group intends to resume its hunts - #News #اندرويد #androidDev #android... http://t.co/o4hH9eHlqj #Environment #news,1.00,3,0,Japanese whaling,0.9,0,0.316227766,0.9486832981,0,0.9486832981,0.316227766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS2,23997,@MAbualzait,2014-05-06,whaling_206,Japanese whaling group intends to resume its hunts - #News #اندرويد #androidDev #android... http://t.co/o4hH9eHlqj #Environment #news,1.00,3,0,Japanese whaling group intends to resume its hunts,0.3,0,0.7071067812,0.7071067812,0.1825741858,0.9128709292,0.3651483717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
